,N,t
0,20,7.516702414
1,22,10.25400424
2,24,14.24512649
3,26,14.92285109
4,28,15.66737151
5,30,16.80866861
6,32,20.96546555
7,34,22.23841262
8,36,27.10849524
9,38,28.69269991
10,40,29.97237682
11,42,35.70977354
12,44,37.20289373
13,46,43.16113424
14,48,46.43179822
15,50,46.80771708
16,52,54.46888494
17,54,55.34484816
18,56,62.68294263
19,58,67.23863459
20,60,69.05008769
21,62,77.89578915
22,64,80.35075784
23,66,86.51410723
24,68,88.92559147
25,70,94.48939419
26,72,102.9408669
27,74,108.9124022
28,76,113.896246
29,78,118.3336558
30,80,119.8363907
31,82,130.6349294
32,84,134.5392194
33,86,152.844964
34,88,150.9236073
35,90,154.9985237
36,92,166.0822873
37,94,167.9541712
38,96,184.8702493
39,98,184.9040577
