,N,t
0,20,14.892556190490723
1,22,18.548253059387207
2,24,22.34854507446289
3,26,26.70993661880493
4,28,31.253560781478882
5,30,33.505396127700806
6,32,39.3971803188324
7,34,45.605309009552
8,36,50.420135259628296
9,38,57.17376661300659
10,40,61.305476903915405
11,42,68.69708824157715
12,44,73.97048115730286
13,46,81.6387071609497
14,48,89.30996012687683
15,50,94.9501850605011
16,52,104.87554621696472
17,54,110.94084477424622
18,56,120.61033535003662
19,58,132.75105547904968
20,60,137.44732761383057
21,62,152.35275602340698
22,64,160.68830347061157
23,66,172.34280633926392
24,68,187.40124225616455
25,70,187.59413361549377
26,72,203.24955081939697
27,74,210.47948837280273
28,76,232.19936227798462
29,78,238.22332549095154
30,80,244.79704093933105
31,82,257.88117027282715
32,84,272.7059094905853
33,86,282.1011860370636
34,88,310.1259627342224
35,90,306.8250501155853
36,92,324.5326781272888
37,94,338.7962419986725
38,96,367.0832345485687
39,98,387.11375284194946
